"","SubDiv","Year","lngt_class","Mean_cond"
"226",28,1996,"50+",0.993943634293926
"227",28,1997,"< 30",1.09393039071424
"228",28,1997,"30-50",1.10121334268338
"229",28,1997,"50+",0.954403280831726
"230",28,1998,"< 30",1.05141044931812
"231",28,1998,"30-50",1.03107576682375
"232",28,1998,"50+",0.865802934727427
"233",28,1999,"< 30",1.01538210647086
"234",28,1999,"30-50",1.01220632903622
"235",28,1999,"50+",1.01895314074454
"236",28,2000,"< 30",1.06997151299354
"237",28,2000,"30-50",1.05283272678652
"238",28,2000,"50+",0.935798629696826
"239",28,2001,"< 30",1.00491584525146
"240",28,2001,"30-50",0.977574721184264
"241",28,2001,"50+",0.899694998923179
"242",28,2002,"< 30",1.00746974525088
"243",28,2002,"30-50",0.979614515219656
"244",28,2002,"50+",0.980920030136069
"245",28,2003,"< 30",1.04331804533124
"246",28,2003,"30-50",1.0495258604596
"247",28,2003,"50+",0.873318201800416
"248",28,2004,"< 30",0.953807736216541
"249",28,2004,"30-50",0.978828402226524
"250",28,2004,"50+",0.760496747931665
"251",28,2005,"< 30",0.968499453761773
"252",28,2005,"30-50",0.960845135988864
"253",28,2005,"50+",0.854663543686674
"254",28,2006,"< 30",1.04435664245818
"255",28,2006,"30-50",1.00679566177934
"256",28,2006,"50+",0.947441657734433
"257",28,2007,"< 30",1.02787194385233
"258",28,2007,"30-50",0.992333099258158
"259",28,2007,"50+",0.873719121948841
"260",28,2008,"< 30",0.984710950384195
"261",28,2008,"30-50",0.888155902633085
"262",28,2008,"50+",0.900418591749706
"263",28,2009,"< 30",0.981318500772986
"264",28,2009,"30-50",0.958453319422017
"265",28,2009,"50+",0.835924902259985
"266",28,2010,"< 30",0.994235273904606
"267",28,2010,"30-50",0.921979039571791
"268",28,2010,"50+",0.831138617639386
"269",28,2011,"< 30",0.914854805174937
"270",28,2011,"30-50",0.959980103191674
"271",28,2011,"50+",0.907534423214219
"272",28,2012,"< 30",1.00874204628015
"273",28,2012,"30-50",1.01317556065196
"274",28,2012,"50+",0.70758511223472
"275",28,2013,"< 30",0.905972478751509
"276",28,2013,"30-50",0.919548257066558
"277",28,2013,"50+",1.03496904322045
"278",28,2014,"< 30",0.965508920657375
"279",28,2014,"30-50",0.942629549328119
"280",28,2014,"50+",0.869474524352548
"281",28,2015,"< 30",1.01881837724495
"282",28,2015,"30-50",0.977665073068257
"283",28,2015,"50+",0.866650104217429
"284",28,2016,"< 30",0.920707908218128
"285",28,2016,"30-50",0.893355583516629
"286",28,2016,"50+",1.18306823636284
"287",28,2017,"< 30",1.0453626326869
"288",28,2017,"30-50",0.897797168545473
"289",28,2017,"50+",0.698625935542493
"290",28,2018,"< 30",1.01374568336091
"291",28,2018,"30-50",0.903663761646349
"292",28,2019,"< 30",0.997500532294313
"293",28,2019,"30-50",0.968901270185567
"294",28,2019,"50+",0.984643404671421
